ppt,whc,sand,silt,clay,om,kwfactor,kffactor,spH,slope,tfactor,GDD,yield(corn)
625.860132,24.78342918,59.68140224,20.04843441,20.27016335,111.8067814,0.223064795,0.226399454,5.139626425,51.03628537,4.950715976,15.61925148,71.7
787.3626143,23.53884144,59.09199196,21.80516538,19.10284265,185.6675507,0.250389773,0.256133535,4.940043721,106.2210471,4.936530467,14.28141234,100.8
641.8264477,21.48366955,61.74435235,16.410103,21.84554464,88.42968035,0.212321889,0.21239971,5.127342926,65.98002507,4.926214384,12.59113176,72.1
691.1056446,25.89077278,50.70797039,24.24209625,25.04993337,71.57274939,0.244816307,0.256715731,4.957079028,41.04148734,4.861003392,13.02376617,110.1
767.0098753,18.28257458,37.50055814,33.40469907,29.09474278,79.91541735,0.245428244,0.296247633,4.914514788,32.14656501,3.174986396,14.5916419,123.9
655.5505983,22.58727645,39.39067144,25.92333657,34.68599199,120.9029212,0.230438056,0.232821872,5.529810386,46.05616696,4.988562614,13.67158325,80
740.9637846,24.71647271,50.83621671,21.17594747,27.98783582,71.66213839,0.219741931,0.219742052,5.031030158,63.86830015,4.889980786,12.53683037,83.8
740.6358521,23.1959448,25.65331903,40.24131791,34.10536306,96.97932805,0.252192806,0.310097483,5.207536683,39.4531191,4.433671501,13.10825335,118.4
672.0926029,21.08272834,44.59995871,22.40857287,32.99146842,75.55332299,0.212032728,0.223294902,5.349054528,38.28054881,4.935817298,12.56694759,110.1
782.7720358,22.46094239,31.44783656,36.73402589,31.81813755,88.25225415,0.263626638,0.302581599,4.969634475,38.97867329,4.165865031,13.20194334,101.6
665.6469107,21.36756909,52.29574591,24.38067486,23.32357922,49.09698644,0.236993283,0.268547457,4.949603085,33.84732947,4.726095117,13.48439884,45
647.8299531,24.36310007,45.6361149,29.40401615,24.95986896,36.78545615,0.298813651,0.299632756,5.177116988,42.3848206,4.669441754,13.41902049,75.7
657.0714002,26.43170779,56.08112835,22.03115808,21.88771357,73.85641943,0.244743807,0.250687188,5.037180573,32.56271472,4.895319482,12.82778852,87.3
757.8339911,24.26631762,47.81062853,26.85713873,25.33223274,48.62665209,0.252870132,0.259694817,5.123993605,36.37811957,4.739653835,12.47586539,110.1
705.9106328,21.37734395,43.73589883,31.50677191,24.75732926,50.4561446,0.273939263,0.306711741,5.174782421,29.32956342,4.522987918,14.04030571,110.1
816.0582964,23.54473781,59.87626938,16.95878352,23.16494711,68.66822149,0.203046097,0.206028553,5.077002128,71.86694116,4.954670824,13.64651843,93.3
697.2706334,32.65878516,16.08856449,41.97956362,41.93187189,81.89145679,0.258624919,0.265349996,5.211697048,51.14930066,4.790220123,14.06973653,103.3
741.9245051,25.18542744,51.8239613,20.739619,27.4364197,52.61923224,0.218103219,0.219794718,5.141703181,60.99783661,4.950225451,13.24932626,97.6
671.4653135,24.17189441,46.36234369,26.96620747,26.67144884,75.00078547,0.264860301,0.27566347,5.25329902,36.75144837,4.436621066,13.41460352,110.1
791.4875195,20.84647893,63.14312294,15.1066351,21.75024196,95.32942869,0.18580071,0.186509523,5.157482667,61.50138557,4.986237485,13.77399581,83.3
745.2272587,24.00246756,61.043677,15.35878435,23.59753865,67.7138254,0.198896253,0.198898545,5.074411052,67.17339153,4.971883588,13.14338122,85.3
755.1081917,16.89668544,39.06340764,34.58657449,26.35001787,72.78347591,0.29837112,0.311481182,4.931208097,38.57337242,3.129346149,14.0655378,116.4
694.3728006,21.65353986,65.62660414,14.08692438,20.28647148,62.46574362,0.20472663,0.204883772,5.08857496,71.02683842,4.906310614,14.3666128,71.3
595.5974705,25.7341369,36.05309266,29.03659125,34.91031608,89.47821075,0.241001543,0.241309189,5.971759196,49.13150338,4.518319603,13.71968001,70.7
755.3925135,17.03395488,43.2245448,33.29465856,23.48079664,83.38717964,0.299862085,0.309763771,4.769970976,40.78399764,2.8855179,13.92838704,123.7
622.9502175,20.27350407,53.51685494,20.46351008,26.01963498,91.08072066,0.219010388,0.222733577,5.15385612,43.84551543,4.325839299,14.05619906,77.3
811.2006441,26.11813447,50.92627101,24.58229482,24.49143417,158.9526909,0.199830106,0.200575447,5.118954031,77.12905175,4.967957051,13.0824047,100
775.0532688,19.38449572,31.77343578,38.71126078,29.51530345,91.87241995,0.273903407,0.309608173,4.955342866,40.14311814,3.915546676,12.63627825,106.7
668.9875022,22.89483209,45.86541224,31.547723,22.58686476,53.67264958,0.307224909,0.323358038,4.861830942,43.69625326,4.399475347,13.77828267,90.7
767.9629714,19.54046566,40.59619809,31.74128311,27.6625188,68.19737549,0.269479577,0.295389038,5.181463946,38.1991361,4.033897812,13.96939183,102.5
774.5206215,19.98065079,61.25224099,16.21849168,22.52926733,87.51045287,0.198189445,0.199349421,5.147368587,66.85747063,4.883058356,13.65380299,78.8
678.0988524,23.01356148,31.79734489,31.88185763,36.32079748,98.2767196,0.266574257,0.27358557,6.041441786,47.8362378,4.407746236,13.57107978,70
